"","year","hum_dist","region","site","site.ppq","year.site.ppq","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_SubMassive","Live_Tabulate","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching"
"1","2015","Very High","N.Lagoon","27","27.1","2015.27.1",6,0,0,46,0,6,2,37,0,0,0,0,0,0,0,0
"2","2015","Very High","N.Lagoon","27","27.2","2015.27.2",2,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
"3","2015","Very High","N.Lagoon","27","27.3","2015.27.3",1,0,0,5,0,0,2,12,0,0,0,0,0,0,0,0
"4","2015","Very High","N.Lagoon","30","30.1","2015.30.1",23,0,0,174,1,1,8,121,13,2,0,0,0,0,1,0
"5","2015","Very High","N.Lagoon","30","30.2","2015.30.2",19,0,1,22,0,1,0,78,10,0,0,0,0,0,0,0
"6","2015","Very High","N.Lagoon","30","30.3","2015.30.3",22,0,1,132,0,13,1,97,11,0,0,0,0,1,2,0
"7","2015","Very High","N.Lagoon","32","32.1","2015.32.1",14,1,0,14,0,13,9,31,1,0,0,0,2,0,0,0
"8","2015","Very High","N.Lagoon","32","32.2","2015.32.2",10,0,0,28,0,2,3,22,1,0,0,0,0,1,0,0
"9","2015","Very High","N.Lagoon","32","32.3","2015.32.3",6,0,0,19,0,10,1,14,0,0,0,0,2,0,0,0
"10","2015","Medium","S.Lagoon","8","8.1","2015.8.1",51,5,0,304,1,53,18,213,30,0,1,3,3,3,4,0
"11","2015","Medium","S.Lagoon","8","8.2","2015.8.2",45,0,0,246,0,57,21,260,48,0,0,0,0,7,0,0
"12","2015","Medium","S.Lagoon","8","8.3","2015.8.3",20,0,1,131,1,17,7,145,19,0,0,2,0,9,4,0
"13","2015","Medium","S.Lagoon","34","34.1","2015.34.1",28,1,0,290,0,2,5,216,19,0,0,1,0,1,6,0
"14","2015","Medium","S.Lagoon","34","34.2","2015.34.2",33,0,2,300,0,41,15,153,34,0,0,0,0,0,1,0
"15","2015","Medium","S.Lagoon","34","34.3","2015.34.3",47,0,0,222,0,20,3,142,11,0,5,1,5,2,0,0
"16","2015","Medium","S.Lagoon","35","35.1","2015.35.1",35,1,0,157,0,5,1,134,13,0,0,0,1,0,0,0
"17","2015","Medium","S.Lagoon","35","35.2","2015.35.2",41,0,0,128,0,1,0,148,7,2,0,0,0,0,3,0
"18","2015","Medium","S.Lagoon","35","35.3","2015.35.3",36,2,0,214,0,29,8,227,27,0,4,5,0,0,1,0
"19","2015","Very Low","BOW","15","15.1","2015.15.1",34,0,0,18,1,91,0,17,19,22,0,0,0,0,0,0
"20","2015","Very Low","BOW","15","15.2","2015.15.2",31,0,0,32,2,59,0,11,15,32,0,0,0,0,0,0
"21","2015","Very Low","BOW","15","15.3","2015.15.3",72,0,0,93,5,143,1,20,40,37,0,0,0,0,0,0
"22","2015","Very Low","BOW","19","19.1","2015.19.1",119,0,0,42,0,19,1,10,48,2,1,0,1,0,0,0
"23","2015","Very Low","BOW","19","19.2","2015.19.2",64,0,0,31,0,102,0,8,23,9,0,0,0,0,0,0
"24","2015","Very Low","Vaskes","5","5.1","2015.5.1",38,1,1,188,0,41,10,85,50,0,0,3,0,20,0,0
"25","2015","Very Low","Vaskes","5","5.2","2015.5.2",6,0,4,114,0,13,11,95,20,0,0,1,0,24,30,0
"26","2015","Very Low","Vaskes","5","5.3","2015.5.3",24,0,0,88,1,32,35,129,37,0,0,0,1,19,0,0
"27","2017","Very High","N.Lagoon","27","27.1","2017.27.1",1,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0
"28","2017","Very High","N.Lagoon","27","27.2","2017.27.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2017","Very High","N.Lagoon","27","27.3","2017.27.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
